geoname_id;code_insee
2967600;41296
2967603;08490
2967604;18290
2967606;16422
2967607;86299
2967608;88523
2967609;72071
2967610;72383
2967611;28051
2967612;37281
2967613;01091
2967615;85305
2967616;53276
2967617;55575
2967618;55574
2967619;16421
2967620;19288
2967621;89485
2967622;03319
2967623;43233
2967624;90097
2967625;69268
2967626;38566
2967627;86298
2967628;86297
2967631;77531
2967632;77530
2967633;79242
2967634;02826
2967635;86296
2967636;16420
2967637;26084
2967638;86295
2967639;77529
2967640;21717
2967641;25632
2967642;14342
2967643;36248
2967644;51654
2967645;85304
2967647;86294
2967648;79355
2967649;36067
2967650;70577
2967651;79354
2967652;17482
2967653;16419
2967654;42338
2967655;74312
2967656;10443
2967657;03003
2967658;39287
2967659;39289
2967660;35015
2967661;35015
2967662;35015
2967663;21716
2967664;70576
2967666;23093
2967667;02738
2967669;52547
2967670;10442
2967671;21715
2967672;51648
2967673;51652
2967674;74311
2967676;37280
2967677;77152
2967678;10441
2967679;21714
2967683;39583
2967684;89156
2967685;63151
2967686;12056
2967687;18289
2967688;36122
2967689;18288
2967690;13097
2967691;25631
2967692;02824
2967693;43267
2967694;74215
2967695;38565
2967697;2B047
2967698;70575
2967700;01457
2967701;01456
2967702;21713
2967704;08489
2967705;52546
2967706;88522
2967707;88521
2967708;04245
2967710;63470
2967711;26378
2967712;89139
2967713;26378
2967714;26372
2967715;57733
2967716;2B355
2967718;04244
2967719;87083
2967720;70574
2967723;01267
2967724;72382
2967725;21024
2967726;21712
2967727;57732
2967728;57731
2967729;57730
2967730;63469
2967731;63468
2967732;01141
2967733;67509
2967734;57672
2967735;43078
2967736;89003
2967737;15006
2967738;71590
2967739;59628
2967741;72381
2967742;39582
2967743;17481
2967744;38564
2967745;78688
2967747;89483
2967748;52545
2967749;38505
2967750;80248
2967751;21455
2967753;52544
2967754;77528
2967756;28421
2967757;27699
2967758;38563
2967759;54296
2967760;61327
2967761;25630
2967764;63079
2967765;43201
2967766;51651
2967767;77527
2967768;63467
2967769;54591
2967770;57728
2967771;52543
2967772;25629
2967773;51650
2967774;94073
2967775;10440
2967778;55573
2967779;02823
2967780;07348
2967781;73329
2967782;68352
2967783;68351
2967784;04096
2967785;16418
2967786;36152
2967787;67508
2967788;57749
2967789;68350
2967790;63466
2967791;07347
2967793;2A040
2967794;2B354
2967795;65399
2967796;38562
2967798;42174
2967800;21711
2967801;85303
2967802;49378
2967803;86293
2967804;72380
2967805;16204
2967806;12305
2967807;12226
2967808;09341
2967809;54590
2967810;10439
2967811;88518
2967812;81325
2967813;81324
2967815;88517
2967816;57727
2967817;53265
2967818;89482
2967819;23252
2967820;07346
2967821;02822
2967822;76423
2967823;08488
2967824;51237
2967825;52542
2967826;77039
2967827;66233
2967828;63465
2967830;64560
2967831;2B354
2967833;63274
2967834;42337
2967835;02821
2967836;74310
2967837;74311
2967838;73085
2967839;80810
2967840;2A154
2967841;54589
2967842;57726
2967844;57725
2967845;88516
2967846;76748
2967847;21710
2967848;55572
2967849;94081
2967850;57724
2967851;71589
2967852;52541
2967853;71582
2967856;51649
2967857;10438
2967858;51648
2967859;58313
2967860;51647
2967861;52540
2967862;71588
2967863;62865
2967864;45346
2967868;05184
2967869;84151
2967870;13117
2967872;54588
2967873;2A203
2967874;17312
2967875;54587
2967876;70572
2967877;76595
2967878;39581
2967879;35360
2967880;79030
2967881;28120
2967882;28419
2967883;37221
2967884;03168
2967885;61510
2967886;19287
2967887;16416
2967888;40167
2967889;12223
2967891;63464
2967892;24587
2967893;15264
2967894;54586
2967895;81323
2967897;77192
2967898;18239
2967900;2A212
2967901;35359
2967902;30353
2967903;43013
2967905;70571
2967906;80809
2967907;65479
2967908;21709
2967909;62864
2967910;65478
2967911;63463
2967914;84150
2967916;02820
2967917;91687
2967918;39579
2967919;71586
2967920;74309
2967921;76747
2967923;17480
2967924;33553
2967925;27697
2967926;80808
2967927;03256
2967928;17479
2967929;87005
2967930;87072
2967931;87154
2967932;36025
2967934;78686
2967935;57723
2967936;10049
2967937;63338
2967938;63462
2967940;38561
2967941;88103
2967942;01454
2967943;42336
2967944;01453
2967945;01452
2967947;38560
2967948;42335
2967949;01451
2967950;51646
2967951;10437
2967952;50484
2967953;70045
2967954;71585
2967955;08487
2967956;08486
2967957;42028
2967958;03219
2967959;11262
2967961;63230
2967962;39086
2967963;33552
2967965;72379
2967967;54585
2967968;13028
2967969;89481
2967972;14762
2967973;71584
2967974;46336
2967975;47326
2967976;04120
2967977;87012
2967978;15263
2967979;05032
2967980;50643
2967981;81322
2967982;09340
2967983;66232
2967984;03317
2967985;32466
2967986;06043
2967989;19249
2967991;46086
2967993;44077
2967994;57722
2967995;73327
2967997;72378
2967998;07345
2967999;88515
2968000;88032
2968001;34343
2968002;52539
2968004;62603
2968005;84149
2968006;15067
2968007;42334
2968008;62863
2968009;64559
2968010;88514
2968011;07344
2968012;74308
2968013;71583
2968014;63461
2968015;63029
2968016;19164
2968017;29167
2968018;83151
2968019;26377
2968020;63006
2968022;42012
2968023;83150
2968025;18287
2968026;89480
2968027;76746
2968028;61341
2968029;66231
2968030;58231
2968033;63277
2968034;60695
2968035;41295
2968036;36247
2968037;10436
2968038;12051
2968039;81320
2968040;63405
2968041;63023
2968042;51645
2968043;50016
2968044;16415
2968045;50400
2968046;71581
2968047;02819
2968048;77526
2968050;62862
2968051;88513
2968052;36180
2968053;39577
2968054;94080
2968055;73040
2968057;89479
2968058;51644
2968059;89478
2968060;71580
2968061;39576
2968062;66230
2968063;51643
2968064;38559
2968065;17478
2968066;11441
2968067;77525
2968068;83061
2968069;18234
2968070;62861
2968071;77524
2968072;61508
2968073;45345
2968074;76453
2968075;14761
2968076;73326
2968077;28386
2968079;88512
2968080;12303
2968081;48152
2968083;53274
2968084;03305
2968085;57721
2968086;28396
2968087;77393
2968089;58033
2968090;55571
2968091;70569
2968092;76021
2968093;14759
2968094;74307
2968095;21708
2968096;10435
2968097;76049
2968098;74306
2968099;10434
2968100;76745
2968102;10433
2968103;21707
2968104;14760
2968105;08485
2968106;89477
2968107;58229
2968108;77523
2968109;88511
2968110;36007
2968111;51473
2968112;21706
2968113;55570
2968114;21705
2968115;55569
2968116;51334
2968117;88510
2968118;60694
2968119;63460
2968120;45344
2968121;14758
2968122;88509
2968124;89475
2968125;45092
2968126;77035
2968127;28376
2968128;16414
2968129;57720
2968130;01450
2968131;89474
2968132;77421
2968133;58312
2968134;60690
2968135;89003
2968136;77507
2968137;52538
2968138;77522
2968139;91685
2968140;77521
2968141;02818
2968142;94079
2968143;52230
2968144;41294
2968145;79352
2968146;58029
2968147;10432
2968148;61507
2968149;77520
2968150;28418
2968151;77519
2968152;78683
2968153;89472
2968154;45191
2968155;89471
2968156;89318
2968157;78478
2968158;89336
2968159;21143
2968160;89470
2968161;14200
2968162;95682
2968163;52535
2968164;58310
2968165;52274
2968166;62858
2968167;52536
2968168;16413
2968169;50487
2968170;28417
2968171;78681
2968172;21704
2968173;10287
2968174;28278
2968175;10431
2968176;95680
2968177;91679
2968178;78506
2968179;89194
2968180;10430
2968181;50641
2968182;41293
2968183;79351
2968184;21703
2968185;52534
2968186;27696
2968187;79350
2968188;77518
2968189;17477
2968190;53273
2968191;89469
2968192;51642
2968193;52178
2968194;52497
2968195;37279
2968196;95678
2968199;62752
2968200;61029
2968201;28164
2968202;45088
2968203;45222
2968204;89402
2968205;21429
2968206;45087
2968207;21500
2968208;58256
2968209;36199
2968210;86111
2968211;18137
2968212;36246
2968213;86292
2968214;69267
2968215;27695
